gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
CD109,-0.06260146669802406,0.0004984853627894188,0.00748323359693825,25,1181,0.14653018098650933,0.26998362500342005,0.010044806384484448,10.044776550975964
NOC4L,0.2062081105278566,0.0005101817487710731,0.0009101751991302825,25,1181,0.14754949898732436,0.1662081822058303,-1.1400210463973453,8.616466340134828
H2AC6,-0.10934693213642888,0.0005614198926227982,0.0002694421621385805,25,1181,0.14828330358764077,0.11971237350806783,-0.4587572746196318,10.102398004170581
GSTA3,0.1046454618077663,0.0005584055350976177,0.00029480393995873834,25,1181,0.14828330358764077,0.12286196777082196,-0.07449256097540058,0.0
EIF1AX,-0.4606351041682448,0.0005623369942535036,0.015504611916676469,25,1181,0.14828330358764077,0.3379335103806541,-1.8871562542534157,10.830297147854882
FOLR1,0.09806782887008735,0.0005425657565777782,0.00015144570484204586,25,1181,0.14828330358764077,0.09440049357607655,0.013044036994025787,7.496337425005617
SYNCRIP,0.16104506647231134,0.0005535307777672627,0.0013401500364858742,25,1181,0.14828330358764077,0.17669286988403096,-0.3598003590311473,12.561622029719727
RHEB,0.20121926670579154,0.0005288130641724211,0.00015394065286019804,25,1181,0.14828330358764077,0.09440049357607655,-0.44101769058109713,10.688905835121528
AFF1,0.08046371601420439,0.0005724979616866358,0.006251167972681687,25,1181,0.14877479639134877,0.2678323326422035,0.06867228125031925,10.027422159678798
BANP,-0.16938974407299145,0.0005977612067634621,0.001313365551351994,25,1181,0.15312080283536625,0.17669286988403096,-1.0158211418875394,8.21201112928959
MRTO4,0.23749272042037128,0.0006072387868681145,0.0016209345845870045,25,1181,0.1533577279905938,0.18889460881415296,-1.024055831518145,10.256691377050554
BNIP3L,-0.06560262455550793,0.0006299427607115389,0.0008497367035960099,25,1181,0.15688199503220282,0.1662081822058303,0.17560273360787076,10.80943930708605
A1CF,-0.08619715689735324,0.0006573758747397358,0.00013533586303755607,25,1181,0.161471326163811,0.0933348984664007,-0.014375089608105168,0.0
PTEN,-0.19872437181538863,0.0006790105854935864,0.00925245881522342,25,1181,0.1645316055200743,0.2885318939404716,0.3955673081831125,10.384450193475136
SLC16A10,0.05834594697320904,0.000727110064797133,0.0015422155337872449,25,1181,0.16507963764235722,0.18889460881415296,0.03732937488566741,5.587734007985993
LY6E,-0.12306664843711401,0.0007089106449425415,0.00023307548052486194,25,1181,0.16507963764235722,0.11741902550297391,0.03391417480004378,13.025522837493924
RPP38,0.18994800997592254,0.0007152796591971668,9.89557190219278e-05,25,1181,0.16507963764235722,0.08884235880842112,-0.6001881837268903,8.970216918255428
C16orf46,0.06975122299464437,0.0007000241564631776,0.0040066476273474165,25,1181,0.16507963764235722,0.24194771785468575,-0.10355915984126614,5.172777412524111
PRB4,-0.20200210430330007,0.0007273041868131293,0.00035124948977398974,12,370,0.16507963764235722,0.13251230620420137,-0.06447477966920445,0.0
SNRPF,-0.34286504312852717,0.0007536844368063704,0.0006008494678868888,25,1181,0.16803734706938736,0.15142108037396032,-3.23032913647361,9.851614198929994
HSPA8,0.21530217016418074,0.0007778205234933441,0.031147601482934793,25,1181,0.16803734706938736,0.41214517829659303,-0.6332367074050742,14.724586536464223
KIF2A,0.1041298776665474,0.0007673074318888472,0.012062285852073005,25,1181,0.16803734706938736,0.3121051192114301,0.0011066240865991231,9.120907149113403
ZEB2,0.15453793926302037,0.0007774824737588001,0.010150298144970303,25,1181,0.16803734706938736,0.3003382772895421,-0.35807254997262095,9.170616178105
AK6,0.3107917553234233,0.0007965276678592216,0.0020729450645218827,25,1181,0.17003020967123456,0.21239987401109645,-1.2979975692746328,
FAM221B,-0.0803700661462518,0.0008231217480393012,0.00042403194720506265,25,1181,0.1716208844661943,0.1382421244606178,0.0036951158249812206,1.1191913783445298
CACNG2,0.07732810947244965,0.0008136739931501515,0.003152174064636083,25,1181,0.1716208844661943,0.23121851223285197,-0.10222946245263465,0.0
IFI6,-0.10254509344477301,0.0008388762269492154,0.00030148494684714553,25,1181,0.17289528305087795,0.12286196777082196,0.029700907706753817,11.889637486157255
CALM2,0.09822321405599206,0.0009002373401416941,0.005772707085959284,25,1181,0.17522925106888124,0.2678323326422035,-0.07926834925686163,13.680844642406957
BIRC7,-0.06547006383590033,0.0008880176225446046,0.0010388952429732342,25,1181,0.17522925106888124,0.16782369911489245,0.15762686208254198,1.4775720876760183
TMEM258,0.15986416413599003,0.0009186074173484377,0.0005610024066873354,25,1181,0.17522925106888124,0.15142108037396032,-0.8505780809694914,10.510385029629438
FBLN1,0.05714313754217161,0.0009054452396411416,0.0026991028354508774,25,1181,0.17522925106888124,0.22596440215758132,-0.0193141125064812,11.780143401920844
RESP18,0.06348453221326691,0.000900815318772905,0.004088459010092565,25,1181,0.17522925106888124,0.24194771785468575,0.018440411823041274,0.0
RARB,0.08291264614690183,0.0008653899708084946,0.0018108625507263511,25,1181,0.17522925106888124,0.1999921955203413,-0.03492666478115033,7.584834375728182
ZDHHC9,0.056729405012348647,0.0009184262071001457,0.0008822255132733799,25,1181,0.17522925106888124,0.1662081822058303,0.05875492565632515,10.725678740958017
SLC37A1,0.058772355690031454,0.0009332080943324896,0.0026633254725085187,25,1181,0.17614057199448285,0.22592354908258516,-0.05695123131789393,9.18197178756207
PODXL,-0.06006175954717191,0.0009470935969635741,0.0034938155095252817,25,1181,0.1768993259078526,0.23289072825761276,-0.09441642112863356,11.619390139407116
VSTM1,-0.05513977116609198,0.0009610468200210836,0.0009506850319819884,25,1181,0.17765495391544384,0.1662081822058303,0.09240106122107032,0.16401609515193125
IGF1R,0.1579293973546932,0.001023476294986263,0.01957006517539509,25,1181,0.18567327421482355,0.364393394247154,-0.26163862228535895,10.385976962407858
SYT6,0.11408584020988816,0.001035487559058745,0.00040494077046950385,25,1181,0.18567327421482355,0.1382421244606178,-0.03997330399593572,2.3866643566442436
RNF7,-0.11595585417614775,0.0010353160505024211,0.0038903008653108045,25,1181,0.18567327421482355,0.24194771785468575,0.03540198219452471,10.363892767104865
